state_abbr,tract_count,avg_pov20,avg_mob_up,avg_inc20,avg_opp_gap,disadv_tract_share
AK,166,0.10554216867469883,0.39028192771084336,89080.36385542169,0.07104939759036141,0.0
AL,1176,0.18347789115646285,0.36850714285714425,61039.374489795926,0.06909897959183664,0.02040816326530612
AR,685,0.17741605839416083,0.37972437956204336,58573.98598540147,0.0725322627737226,0.01897810218978102
AZ,1517,0.1376123928806858,0.4151580751483197,80827.92392880686,0.06660461437046808,0.1054713249835201
CA,8003,0.1239952517805809,0.447539922529049,103926.98533050103,0.05295204298388102,0.10833437460952143
CO,1240,0.10375806451612912,0.44560532258064545,96853.94935483873,0.07783016129032257,0.06370967741935483
CT,828,0.10990579710144922,0.448027777777778,104125.62077294686,0.09033309178743962,0.09057971014492754
DC,179,0.15972067039106136,0.3731463687150839,115895.0,0.0433430167597765,0.26256983240223464
DE,214,0.11766355140186913,0.4000990654205609,85571.79439252337,0.09213831775700929,0.09345794392523364
FL,4171,0.1356120834332291,0.3997906017741538,75848.59271157997,0.05823092783505179,0.0932630064732678
GA,1956,0.15895705521472447,0.35453057259713366,76237.88752556236,0.06779826175869116,0.05112474437627812
HI,318,0.10152201257861633,0.45501886792452845,104496.00628930816,0.07108805031446545,0.03459119496855346
IA,823,0.11856136087484805,0.4505528554070472,73268.00729040097,0.09037618469015794,0.024301336573511544
ID,298,0.11704697986577163,0.43834630872483216,73696.26711409396,0.07279932885906036,0.020134228187919462
IL,3116,0.13518485237483904,0.4156915917843406,84667.02195121952,0.07653164313222045,0.0834403080872914
IN,1505,0.14593887043189369,0.39997966777408545,68866.54830564783,0.08195269102990048,0.04119601328903655
KS,762,0.1288320209973753,0.43202178477690245,73494.1343832021,0.07713884514435701,0.04330708661417323
KY,1108,0.1793357400722024,0.38214657039711214,63532.096389891696,0.08299241877256333,0.032490974729241874
LA,1127,0.21289086069210275,0.3794773735581181,60237.626974267965,0.05697675244010646,0.03637976929902396
MA,1464,0.11005054644808757,0.46427527322404416,108516.71871584699,0.08590163934426231,0.08333333333333333
MD,1390,0.10657553956834548,0.4227369784172662,107218.35251798561,0.08309669064748193,0.08489208633093526
ME,351,0.11743589743589743,0.4187401709401712,72464.36467236467,0.09389800569800567,0.0
MI,2746,0.15051638747268736,0.3924301529497474,73397.37086671521,0.07966059723233784,0.06263656227239621
MN,1334,0.09929985007496242,0.4661809595202393,89706.19415292353,0.10092383808095941,0.047976011994003
MO,1389,0.14272858171346328,0.39489316054715584,70379.73650107991,0.06986090712742982,0.06839452843772498
MS,658,0.2138875379939208,0.36684620060790285,54032.9914893617,0.0555933130699088,0.010638297872340425
MT,270,0.13089629629629623,0.4591481481481482,68594.58962962963,0.07190148148148151,0.0
NC,2167,0.14352653437932636,0.37212099676972804,72759.76059067836,0.09176529764651595,0.03922473465620674
ND,205,0.11609756097560975,0.5308370731707314,75716.6243902439,0.08258243902439026,0.0
NE,531,0.11193973634651595,0.46217062146892646,77094.77062146894,0.0903627118644068,0.04896421845574388
NH,292,0.07780821917808216,0.44402397260273985,98671.45205479451,0.10621506849315078,0.003424657534246575
NJ,1999,0.10413906953476786,0.464324962481241,108791.28934467233,0.08198489244622306,0.0880440220110055
NM,498,0.18538152610441758,0.4097738955823294,64158.00200803213,0.0595626506024096,0.04216867469879518
NV,680,0.1336764705882353,0.41700441176470643,78740.36411764706,0.05593911764705885,0.125
NY,4831,0.14222314220658136,0.45475926309252723,92636.5351273028,0.061129496998551074,0.10370523701097081
OH,2941,0.1599435566133968,0.39338463107786564,70382.2010200612,0.07428031281876887,0.06868412104726283
OK,1045,0.1721339712918662,0.41346507177033504,64660.53588516746,0.06776114832535889,0.06315789473684211
OR,825,0.12238787878787856,0.42126933333333344,84709.86545454545,0.08024290909090911,0.04727272727272727
PA,3198,0.13083239524702892,0.4363221388367729,79572.57492182615,0.08314308943089402,0.06378986866791744
PR,837,0.42805256869772995,0.28303990442054877,26758.728076463558,0.01752974910394265,0.0
RI,241,0.11406639004149377,0.43739253112033194,89971.90041493776,0.08535435684647297,0.08713692946058091
SC,1089,0.16231588613406786,0.37134729109274556,66431.40550964187,0.08058622589531686,0.04040404040404041
SD,222,0.13049549549549533,0.4708135135135136,72405.7072072072,0.08470900900900905,0.0
TN,1483,0.15396223870532713,0.37603277140930524,69260.63101820635,0.07380944032366818,0.045178691840863115
TX,5228,0.1547815608263187,0.4213215761285393,77929.16599081866,0.05682226472838546,0.09066564651874522
UT,585,0.09467692307692316,0.4792512820512819,95726.32444444444,0.07222256410256409,0.06324786324786325
VA,1877,0.10937666489078385,0.4219193393713369,99868.15620671285,0.0771706979222164,0.041022908897176344
VT,183,0.1055191256830601,0.44737377049180327,79493.93989071039,0.08437595628415298,0.0
WA,1444,0.10318698060941853,0.4374916897506928,101334.17617728532,0.08732880886426575,0.05124653739612189
WI,1392,0.122329022988506,0.4371063218390814,75628.68477011494,0.10012931034482762,0.04597701149425287
WV,484,0.18212809917355385,0.4014152892561984,57343.97520661157,0.0969942148760331,0.0
WY,131,0.11671755725190842,0.4782885496183206,74722.17557251909,0.08382900763358782,0.0
