youth_group,recommendation_count,avg_match_score,high_risk_recommendation_share,avg_job_zone_recommended,notes
Very Disadvantaged,5,0.7055982663923279,0.0,,
Disadvantaged,5,0.8393174441203873,0.0,,
Moderate Opportunity,5,0.783318072764912,0.0,,
Higher Opportunity,5,0.7708720930232558,0.0,,
