youth_group,tract_count,avg_pov20,avg_mob_up,avg_inc20,avg_opp_gap,avg_sc_cost_mean,avg_sc_earn6_mean,avg_sc_earn10_mean,avg_oes_emp_chg,avg_oes_aw_chg
Disadvantaged,20111,0.10036765948981917,0.412231942717917,83573.9284868977,0.12873829247675503,30895.869320257207,38187.00512481351,44485.47472337313,772516.6386554622,21033.99333697976
Higher Opportunity,14079,0.05041693302080513,0.512564116769657,140800.83116698635,0.06076391789189566,31653.574708330714,39428.863334348964,46503.478894772365,1238941.9717309468,23087.03672135805
Moderate Opportunity,26278,0.1277797397062185,0.41161641677448696,71366.47968642975,0.03900309764822313,29896.088640032936,37264.65566665238,43548.74073568613,1195676.8509780045,21195.438770073826
Very Disadvantaged,12734,0.3321536045233258,0.3402339249253945,40772.19189571228,0.06013499293230748,28489.19964117857,35586.50817608333,41449.73554676537,857055.623527564,19629.228836186587
