youth_group,pov20,mob_up,inc20,opp_gap
Disadvantaged,0.10036765948981917,0.412231942717917,83573.9284868977,0.12873829247675503
Higher Opportunity,0.05041693302080513,0.512564116769657,140800.83116698635,0.06076391789189566
Moderate Opportunity,0.1277797397062185,0.41161641677448696,71366.47968642975,0.03900309764822313
Very Disadvantaged,0.3321536045233258,0.3402339249253945,40772.19189571228,0.06013499293230748
