pov20,mob_up,inc20,opp_gap,sc_cost_mean,sc_earn10_mean,oes_emp_chg
0.1,0.41,83573.93,0.13,30895.87,44485.47,772516.64
0.05,0.51,140800.83,0.06,31653.57,46503.48,1238941.97
0.13,0.41,71366.48,0.04,29896.09,43548.74,1195676.85
0.33,0.34,40772.19,0.06,28489.2,41449.74,857055.62
